,Cparam,Iparam,LParam,Iteration,HR,FARtbx,FARnew,FARnew_F
1,6.0,20.0,0.1,0.0,0.10526315789473684,0.09523809523809523,0.1,0.04365718688819044
2,6.0,20.0,0.1,1.0,0.2,0.06666666666666667,0.075,0.012270623566051764
3,6.0,20.0,0.1,2.0,0.15,0.05,0.075,0.04905326480668127
4,6.0,20.0,0.1,3.0,0.0,0.05263157894736842,0.075,0.042772219157019474
5,6.0,20.0,0.1,4.0,0.15,0.25,0.2,0.03862684621442455
6,6.0,20.0,0.1,5.0,0.13333333333333333,0.28,0.2,0.049537328047888934
7,6.0,20.0,0.1,6.0,0.22727272727272727,0.2222222222222222,0.05,0.02528923977745983
8,6.0,20.0,0.1,7.0,0.2631578947368421,0.14285714285714285,0.2,0.06187879443358385
9,6.0,20.0,0.1,8.0,0.08333333333333333,0.0625,0.125,0.041868139787944195
10,6.0,20.0,0.1,9.0,0.08695652173913043,0.17647058823529413,0.1,0.02841054906456224
11,6.0,20.0,0.1,10.0,0.24,0.0,0.125,0.034524428953084045
12,6.0,20.0,0.1,11.0,0.0,0.14285714285714285,0.1,0.057829892253717555
13,6.0,20.0,0.1,12.0,0.21052631578947367,0.14285714285714285,0.15,0.045532792394879486
14,6.0,20.0,0.1,13.0,0.2,0.25,0.25,0.04556886801657624
15,6.0,20.0,0.1,14.0,0.1111111111111111,0.36363636363636365,0.275,0.058049686992617824
16,6.0,20.0,0.1,15.0,0.11764705882352941,0.043478260869565216,0.075,0.026141652677068618
17,6.0,20.0,0.1,16.0,0.1111111111111111,0.13636363636363635,0.075,0.046640182072897184
18,6.0,20.0,0.1,17.0,0.1111111111111111,0.09090909090909091,0.125,0.032852306503144656
19,6.0,20.0,0.1,18.0,0.09090909090909091,0.3333333333333333,0.125,0.03612667618547767
20,6.0,20.0,0.1,19.0,0.29411764705882354,0.34782608695652173,0.2,0.045734552974160646
21,6.0,20.0,0.1,20.0,0.25,0.25,0.2,0.0335010824603081
22,6.0,20.0,0.1,21.0,0.2631578947368421,0.19047619047619047,0.175,0.03186929760435052
23,6.0,20.0,0.1,22.0,0.09090909090909091,0.2222222222222222,0.125,0.03216654969073324
